t3_threshold,t3_name,t2_threshold,t2_name,t1_threshold,t1_name,t4_name,t4_threshold,program_type,program_name
100000,Executive Platinum,50000,Platinum,25000,Gold,,,Flight,American Airlines Aadvantage
75000,Premier Platinum,50000,Premier Gold,25000,Premier Silver,Premier 1K,100000,Flight,United MileagePlus
75000,Platinum,50000,Gold,25000,Silver,Diamond,125000,,Delta SkyMiles
